GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
475,5265NIG,69522,24/11/2013,2013,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),Hausa Ethnic Militia (Nigeria),4,Civilians (Nigeria),Berom Ethnic Group (Nigeria),7,47,Nigeria,Plateau,Jos North,,Jos,9.92849,8.89212,3,Agence France Presse,"Around 300 Fulani-Hausa gunmen stormed the mostly Christian Berom village of Kuka in Plateau, killing five people and burning at least 200 of homes.",5
475,5266NIG,69523,25/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Zamfara,Gusau,,Gusau,12.16278,6.66135,1,Daily Trust (Abuja),Youths engaged under the Zamfara State skills acquisition programme staged a protest in Gusau over 20 months unpaid allowance.,0
475,5267NIG,69524,25/11/2013,2013,1,Battle-No change of territory,Police Forces of Nigeria (1999-2015),,1,Police Forces of Nigeria (1999-2015),,1,11,Nigeria,Edo,Oredo,,Benin City,6.33505,5.62749,1,Daily Trust (Abuja),A police officer kills an inspector and injured a corporal for unknown reason.,1
475,5268NIG,69525,26/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Edo,Oredo,,Benin City,6.33505,5.62749,1,Vanguard (Lagos),"Youth from Orogho, an oil producing community in Orhionmwon Local Government Area of Edo State gather at a Edo government building in Benin against the operations of Seplat Petroleum and Newcross Petroleum Limited, expressed dissatisfaction with the operations of the companies, insisting that their operations and attitude ""smack of deceit and infidelity to the community.""",0
475,5269NIG,69526,26/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Kaduna,Kaduna North,,Kaduna,10.52224,7.43828,2,Daily Trust (Abuja),The Kaduna State chapter of the Nigeria Automobile Technicians Association blocked the busy Nnamdi Azikiwe highway in protest against the destruction of their workshops by the Kaduna State Urban Planning and Development Authority (KASUPDA).,0
475,5270NIG,69527,26/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Benue,Oturkpo,,Oturkpo,7.19140,8.13330,1,Daily Trust (Abuja),Residents staged a peaceful protest in Otukpo to condemn attacks and killing of Agatu people by suspected herdsmen in the area.,0
475,5271NIG,69528,26/11/2013,2013,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,PDP: Peoples Democratic Party,,3,13,Nigeria,Plateau,Langtang North,,Langtang,9.13333,9.78333,2,Daily Trust (Abuja),"Three persons are dead in Shishiri, Pajat ward in Langtang North LGA of Plateau State during a Peoples Democratic Party (PDP) local government councillorship primary election. It was reported the incident occurred after several PDP youths manhandled election officials causing intervention by security forces. The youths were said to have assaulted the military men with stones which led to shooting and three persons lost their lives.",3
475,5272NIG,69529,26/11/2013,2013,1,Violence against civilians,PDP: Peoples Democratic Party,,3,Civilians (Nigeria),,7,37,Nigeria,Plateau,Langtang North,,Langtang,9.13333,9.78333,2,Daily Trust (Abuja),A group of PDP youths manhandle election officials during a local government councillorship primary election. The assault garnered response from security forces which resulted in the three deaths.,0
475,5273NIG,69530,26/11/2013,2013,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),,4,Civilians (Nigeria),Berom Ethnic Group (Nigeria),7,47,Nigeria,Plateau,Barkin Ladi,,Barkin Ladi,9.53333,8.90000,2,Premium Times (Abuja); Human Rights Watch,"Suspected Fulani assailants killed 37 Berom civilians in four villages of Barakin Ladi during a pre-dawn raid after several Fulani cattle herders were allegedly killed in the area. The attackers killed 13 persons in Katu Kapang, eight in Daron, nine in Tul and seven others in Rawuru. Beroms are typically Christian.",37
475,5274NIG,69531,28/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),APC: All Progressives Congress,6,,,0,60,Nigeria,Federal Capital Territory,Abuja Municipality,,Abuja,9.08333,7.53333,1,Vanguard (Lagos),"Members of the All Progressives Congress party stage a protest at the INEC (national election commission) headquarters in Abuja to register its disapproval of the Commissions string of failures in conducting recent elections, including the Delta Central Senatorial District bye-election and the inconclusive Anambra Governorship poll.",0
